GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recipe-app,com.skm.recipeapp,RecipeAppApplication,5,3,0,0,2,1,1,1,1,1
recipe-app,com.skm.recipeapp.services,RecipeServiceImpl,0,22,0,0,0,6,0,2,0,2
recipe-app,com.skm.recipeapp.bootstrap,DataLoader,40,258,8,8,8,62,8,3,0,3
recipe-app,com.skm.recipeapp.domain,Difficulty,0,21,0,0,0,4,0,1,0,1
recipe-app,com.skm.recipeapp.domain,Category,21,3,0,0,9,2,6,1,6,1
recipe-app,com.skm.recipeapp.domain,UnitOfMeasure,14,3,0,0,6,2,4,1,4,1
recipe-app,com.skm.recipeapp.domain,Ingredient,31,19,0,0,13,9,9,3,9,3
recipe-app,com.skm.recipeapp.domain,Recipe,93,57,0,0,25,23,19,10,19,10
recipe-app,com.skm.recipeapp.domain,Note,13,11,0,0,5,6,4,3,4,3
recipe-app,com.skm.recipeapp.controllers,DummyController,13,6,0,0,4,3,1,1,1,1
recipe-app,com.skm.recipeapp.controllers,IndexController,0,15,0,0,0,5,0,2,0,2
